ID: 848, Name: ServiceHub.ThreadedWaitDialog, BasePriority: 8
ID: 3928, Name: ServiceHub.RoslynCodeAnalysisService, BasePriority: 8
ID: 8528, Name: ServiceHub.IdentityHost, BasePriority: 8
ID: 21184, Name: ServiceHub.IndexingService, BasePriority: 6
ID: 6900, Name: ServiceHub.Host.CLR, BasePriority: 8
ID: 13368, Name: ServiceHub.SettingsHost, BasePriority: 8
ID: 6700, Name: ServiceHub.Host.CLR, BasePriority: 8
ID: 25336, Name: ServiceHub.Host.CLR.x64, BasePriority: 8
ID: 20388, Name: ServiceHub.Host.CLR.x86, BasePriority: 8
ID: 13116, Name: ServiceHub.TestWindowStoreHost, BasePriority: 8
ID: 9680, Name: ServiceHub.Host.CLR.x86, BasePriority: 8
ID: 13120, Name: chrome, BasePriority: 4
ID: 15016, Name: chrome, BasePriority: 4
ID: 19868, Name: msedge, BasePriority: 4
ID: 23708, Name: msedge, BasePriority: 8
ID: 2744, Name: msedge, BasePriority: 4
ID: 22028, Name: msedge, BasePriority: 4
ID: 5704, Name: chrome, BasePriority: 4
ID: 2236, Name: chrome, BasePriority: 4
ID: 7208, Name: chrome, BasePriority: 4
ID: 23920, Name: vcpkgsrv, BasePriority: 8
ID: 8824, Name: WinRAR, BasePriority: 8
ID: 3108, Name: msedge, BasePriority: 4
ID: 452, Name: devenv, BasePriority: 8
ID: 2224, Name: PerfWatson2, BasePriority: 8
ID: 18096, Name: Microsoft.ServiceHub.Controller, BasePriority: 8
ID: 19860, Name: ServiceHub.VSDetouredHost, BasePriority: 8
ID: 4072, Name: ServiceHub.RoslynCodeAnalysisService, BasePriority: 8
ID: 12208, Name: ServiceHub.ThreadedWaitDialog, BasePriority: 8
ID: 7216, Name: ServiceHub.IdentityHost, BasePriority: 8
ID: 9020, Name: ServiceHub.IndexingService, BasePriority: 6
ID: 2820, Name: ServiceHub.Host.CLR, BasePriority: 8
ID: 2976, Name: ServiceHub.Host.CLR, BasePriority: 8
ID: 4028, Name: ServiceHub.SettingsHost, BasePriority: 8
ID: 24492, Name: ServiceHub.TestWindowStoreHost, BasePriority: 8
ID: 20912, Name: ServiceHub.Host.CLR.x64, BasePriority: 8
ID: 12276, Name: ServiceHub.Host.CLR.x86, BasePriority: 8
ID: 18388, Name: ServiceHub.Host.CLR.x86, BasePriority: 8
ID: 25192, Name: chrome, BasePriority: 4
ID: 1612, Name: SearchProtocolHost, BasePriority: 4
ID: 9224, Name: MSBuild, BasePriority: 8
ID: 23564, Name: conhost, BasePriority: 8
ID: 1216, Name: VBCSCompiler, BasePriority: 8
ID: 19492, Name: conhost, BasePriority: 8
ID: 20044, Name: svchost, BasePriority: 8
ID: 23668, Name: chrome, BasePriority: 4
ID: 13364, Name: chrome, BasePriority: 4
ID: 20940, Name: svchost, BasePriority: 8
ID: 22004, Name: chrome, BasePriority: 4
ID: 13208, Name: svchost, BasePriority: 8
ID: 23428, Name: VsDebugConsole, BasePriority: 8
ID: 18208, Name: conhost, BasePriority: 8
ID: 20876, Name: LABA14, BasePriority: 8
ID: 24148, Name: git, BasePriority: 8
ID: 25348, Name: conhost, BasePriority: 8
ID: 0, Name: Idle, BasePriority: 0
ID: 4, Name: System, BasePriority: 8
ID: 148, Name: Registry, BasePriority: 8
ID: 516, Name: smss, BasePriority: 11
ID: 920, Name: csrss, BasePriority: 13
ID: 1012, Name: wininit, BasePriority: 13
ID: 1016, Name: csrss, BasePriority: 13
ID: 1072, Name: winlogon, BasePriority: 13
ID: 1092, Name: services, BasePriority: 9
ID: 1124, Name: lsass, BasePriority: 9
ID: 1268, Name: svchost, BasePriority: 8
ID: 1292, Name: fontdrvhost, BasePriority: 8
ID: 1296, Name: fontdrvhost, BasePriority: 8
ID: 1392, Name: svchost, BasePriority: 8
ID: 1440, Name: svchost, BasePriority: 8
ID: 1512, Name: dwm, BasePriority: 13
ID: 1656, Name: svchost, BasePriority: 8
ID: 1676, Name: svchost, BasePriority: 8
ID: 1684, Name: svchost, BasePriority: 8
ID: 1716, Name: svchost, BasePriority: 8
ID: 1728, Name: svchost, BasePriority: 8
ID: 1828, Name: svchost, BasePriority: 8
ID: 1952, Name: svchost, BasePriority: 8
ID: 1964, Name: svchost, BasePriority: 8
ID: 2032, Name: svchost, BasePriority: 8
ID: 1008, Name: svchost, BasePriority: 8
ID: 1436, Name: svchost, BasePriority: 8
ID: 2056, Name: svchost, BasePriority: 8
ID: 2144, Name: svchost, BasePriority: 8
ID: 2184, Name: svchost, BasePriority: 8
ID: 2192, Name: svchost, BasePriority: 8
ID: 2436, Name: svchost, BasePriority: 8
ID: 2524, Name: svchost, BasePriority: 8
ID: 2532, Name: svchost, BasePriority: 8
ID: 2612, Name: svchost, BasePriority: 8
ID: 2664, Name: svchost, BasePriority: 8
ID: 2688, Name: NVDisplay.Container, BasePriority: 8
ID: 2756, Name: dasHost, BasePriority: 8
ID: 2792, Name: svchost, BasePriority: 8
ID: 2832, Name: svchost, BasePriority: 8
ID: 2880, Name: AsusCertService, BasePriority: 8
ID: 2892, Name: atiesrxx, BasePriority: 8
ID: 2964, Name: svchost, BasePriority: 8
ID: 2072, Name: atieclxx, BasePriority: 8
ID: 2768, Name: svchost, BasePriority: 8
ID: 2908, Name: svchost, BasePriority: 8
ID: 3076, Name: svchost, BasePriority: 8
ID: 3164, Name: Memory Compression, BasePriority: 8
ID: 3204, Name: svchost, BasePriority: 8
ID: 3260, Name: svchost, BasePriority: 8
ID: 3268, Name: svchost, BasePriority: 8
ID: 3304, Name: NVDisplay.Container, BasePriority: 8
ID: 3344, Name: svchost, BasePriority: 8
ID: 3540, Name: svchost, BasePriority: 8
ID: 3672, Name: svchost, BasePriority: 8
ID: 4056, Name: svchost, BasePriority: 8
ID: 4108, Name: svchost, BasePriority: 8
ID: 4116, Name: svchost, BasePriority: 8
ID: 4196, Name: WmiPrvSE, BasePriority: 8
ID: 4400, Name: svchost, BasePriority: 8
ID: 4464, Name: svchost, BasePriority: 8
ID: 4524, Name: AsusOptimization, BasePriority: 8
ID: 4532, Name: svchost, BasePriority: 8
ID: 4660, Name: spoolsv, BasePriority: 8
ID: 4816, Name: svchost, BasePriority: 8
ID: 4972, Name: svchost, BasePriority: 8
ID: 5080, Name: armsvc, BasePriority: 8
ID: 5100, Name: ArmouryCrateControlInterface, BasePriority: 8
ID: 5108, Name: ArmouryCrate.Service, BasePriority: 8
ID: 4288, Name: AsusAppService, BasePriority: 8
ID: 4192, Name: AsusLinkRemote, BasePriority: 8
ID: 3812, Name: AsusLinkNear, BasePriority: 8
ID: 4720, Name: AsusSoftwareManager, BasePriority: 8
ID: 4760, Name: AGMService, BasePriority: 8
ID: 4740, Name: AsusSwitch, BasePriority: 8
ID: 4844, Name: AsusSystemAnalysis, BasePriority: 8
ID: 5004, Name: AsusSystemDiagnosis, BasePriority: 8
ID: 5160, Name: svchost, BasePriority: 8
ID: 5212, Name: svchost, BasePriority: 8
ID: 5240, Name: OfficeClickToRun, BasePriority: 8
ID: 5288, Name: svchost, BasePriority: 8
ID: 5324, Name: DtsApo4Service, BasePriority: 8
ID: 5356, Name: GameSDK, BasePriority: 8
ID: 5368, Name: GlideXServiceExt, BasePriority: 8
ID: 5384, Name: GlideXService, BasePriority: 8
ID: 5400, Name: svchost, BasePriority: 8
ID: 5528, Name: LightingService, BasePriority: 8
ID: 5552, Name: svchost, BasePriority: 8
ID: 5608, Name: ROGLiveService, BasePriority: 8
ID: 5632, Name: RtkAudUService64, BasePriority: 8
ID: 5640, Name: svchost, BasePriority: 8
ID: 5648, Name: svchost, BasePriority: 8
ID: 5676, Name: RtkBtManServ, BasePriority: 8
ID: 5688, Name: sqlwriter, BasePriority: 8
ID: 5708, Name: svchost, BasePriority: 8
ID: 5724, Name: RvControlSvc, BasePriority: 24
ID: 5732, Name: svchost, BasePriority: 8
ID: 5764, Name: MsMpEng, BasePriority: 8
ID: 5800, Name: svchost, BasePriority: 8
ID: 5904, Name: lkads, BasePriority: 8
ID: 6312, Name: svchost, BasePriority: 8
ID: 6368, Name: svchost, BasePriority: 8
ID: 6476, Name: svchost, BasePriority: 8
ID: 6644, Name: lktsrv, BasePriority: 8
ID: 7092, Name: svchost, BasePriority: 8
ID: 7180, Name: unsecapp, BasePriority: 8
ID: 7964, Name: svchost, BasePriority: 8
ID: 8704, Name: svchost, BasePriority: 8
ID: 9028, Name: NisSrv, BasePriority: 8
ID: 9068, Name: adb, BasePriority: 8
ID: 5672, Name: svchost, BasePriority: 8
ID: 8260, Name: dllhost, BasePriority: 8
ID: 8616, Name: svchost, BasePriority: 8
ID: 8336, Name: AsusOptimizationStartupTask, BasePriority: 8
ID: 8236, Name: ArmouryCrate.UserSessionHelper, BasePriority: 8
ID: 8356, Name: svchost, BasePriority: 8
ID: 8508, Name: conhost, BasePriority: 8
ID: 8376, Name: sihost, BasePriority: 8
ID: 8208, Name: svchost, BasePriority: 8
ID: 3560, Name: svchost, BasePriority: 8
ID: 9284, Name: svchost, BasePriority: 8
ID: 9400, Name: ArmourySocketServer, BasePriority: 6
ID: 9416, Name: AcPowerNotification, BasePriority: 6
ID: 9464, Name: taskhostw, BasePriority: 8
ID: 9476, Name: asus_framework, BasePriority: 6
ID: 9616, Name: svchost, BasePriority: 8
ID: 9716, Name: ctfmon, BasePriority: 13
ID: 9940, Name: explorer, BasePriority: 8
ID: 9948, Name: svchost, BasePriority: 8
ID: 10264, Name: GoogleCrashHandler, BasePriority: 4
ID: 10284, Name: ArmouryHtmlDebugServer, BasePriority: 6
ID: 10356, Name: GoogleCrashHandler64, BasePriority: 4
ID: 10536, Name: updatechecker, BasePriority: 6
ID: 10708, Name: asus_framework, BasePriority: 6
ID: 10884, Name: svchost, BasePriority: 8
ID: 9504, Name: AsusOSD, BasePriority: 8
ID: 10968, Name: ArmourySwAgent, BasePriority: 6
ID: 11524, Name: svchost, BasePriority: 8
ID: 11788, Name: StartMenuExperienceHost, BasePriority: 8
ID: 11872, Name: RuntimeBroker, BasePriority: 8
ID: 11972, Name: SearchApp, BasePriority: 8
ID: 12004, Name: SearchIndexer, BasePriority: 8
ID: 12188, Name: RuntimeBroker, BasePriority: 8
ID: 12964, Name: ShellExperienceHost, BasePriority: 8
ID: 2648, Name: RuntimeBroker, BasePriority: 8
ID: 2656, Name: svchost, BasePriority: 8
ID: 12840, Name: svchost, BasePriority: 8
ID: 13356, Name: svchost, BasePriority: 8
ID: 13484, Name: TextInputHost, BasePriority: 8
ID: 13748, Name: SecurityHealthSystray, BasePriority: 8
ID: 13780, Name: SecurityHealthService, BasePriority: 8
ID: 13984, Name: svchost, BasePriority: 8
ID: 15348, Name: RuntimeBroker, BasePriority: 8
ID: 14456, Name: svchost, BasePriority: 8
ID: 14808, Name: Cortana, BasePriority: 8
ID: 15212, Name: RuntimeBroker, BasePriority: 8
ID: 8252, Name: RadeonSoftware, BasePriority: 8
ID: 14732, Name: svchost, BasePriority: 8
ID: 15548, Name: jusched, BasePriority: 8
ID: 15788, Name: AMDRSServ, BasePriority: 8
ID: 16264, Name: RtkAudUService64, BasePriority: 6
ID: 15612, Name: chrome, BasePriority: 8
ID: 15624, Name: chrome, BasePriority: 8
ID: 15892, Name: chrome, BasePriority: 10
ID: 15908, Name: chrome, BasePriority: 8
ID: 15924, Name: chrome, BasePriority: 8
ID: 15320, Name: chrome, BasePriority: 8
ID: 15240, Name: chrome, BasePriority: 8
ID: 15252, Name: chrome, BasePriority: 8
ID: 8180, Name: svchost, BasePriority: 8
ID: 12740, Name: SystemSettings, BasePriority: 8
ID: 12744, Name: ApplicationFrameHost, BasePriority: 8
ID: 16604, Name: svchost, BasePriority: 8
ID: 16696, Name: UserOOBEBroker, BasePriority: 8
ID: 13832, Name: chrome, BasePriority: 8
ID: 14384, Name: svchost, BasePriority: 8
ID: 9516, Name: SgrmBroker, BasePriority: 8
ID: 13056, Name: svchost, BasePriority: 8
ID: 1840, Name: svchost, BasePriority: 8
ID: 10032, Name: AsusSoftwareManagerAgent, BasePriority: 8
ID: 16052, Name: SearchApp, BasePriority: 8
ID: 3412, Name: dllhost, BasePriority: 8
ID: 15692, Name: svchost, BasePriority: 8
ID: 14524, Name: SDXHelper, BasePriority: 4
ID: 6000, Name: Video.UI, BasePriority: 8
ID: 17864, Name: RuntimeBroker, BasePriority: 8
ID: 15964, Name: MpCopyAccelerator, BasePriority: 8
ID: 18764, Name: LockApp, BasePriority: 8
ID: 19260, Name: RuntimeBroker, BasePriority: 8
ID: 16616, Name: svchost, BasePriority: 8
ID: 15752, Name: taskhostw, BasePriority: 8
ID: 6324, Name: svchost, BasePriority: 8
ID: 21500, Name: svchost, BasePriority: 8
ID: 22560, Name: chrome, BasePriority: 4
ID: 24780, Name: chrome, BasePriority: 4
ID: 24052, Name: Microsoft.Photos, BasePriority: 8
ID: 23384, Name: RuntimeBroker, BasePriority: 8
ID: 19956, Name: chrome, BasePriority: 8
ID: 8360, Name: chrome, BasePriority: 4
ID: 7164, Name: chrome, BasePriority: 4
ID: 14364, Name: chrome, BasePriority: 4
ID: 21148, Name: rundll32, BasePriority: 8
ID: 14404, Name: chrome, BasePriority: 4
ID: 23820, Name: chrome, BasePriority: 8
ID: 12620, Name: chrome, BasePriority: 4
ID: 13204, Name: chrome, BasePriority: 4
ID: 12668, Name: taskhostw, BasePriority: 6
ID: 17572, Name: MoUsoCoreWorker, BasePriority: 8
ID: 17332, Name: svchost, BasePriority: 8
ID: 20584, Name: chrome, BasePriority: 8
ID: 3588, Name: chrome, BasePriority: 4
ID: 5228, Name: chrome, BasePriority: 4
ID: 23956, Name: HelpPane, BasePriority: 8
ID: 25352, Name: msedge, BasePriority: 8
ID: 14012, Name: msedge, BasePriority: 8
ID: 20868, Name: msedge, BasePriority: 10
ID: 20124, Name: msedge, BasePriority: 8
ID: 18104, Name: msedge, BasePriority: 8
ID: 5584, Name: Telegram, BasePriority: 8
ID: 14528, Name: msedge, BasePriority: 4
ID: 21808, Name: devenv, BasePriority: 8
ID: 21016, Name: PerfWatson2, BasePriority: 8
ID: 8068, Name: Microsoft.ServiceHub.Controller, BasePriority: 8
ID: 19228, Name: ServiceHub.VSDetouredHost, BasePriority: 8
ID: 848, Name: ServiceHub.ThreadedWaitDialog, BasePriority: 8
ID: 3928, Name: ServiceHub.RoslynCodeAnalysisService, BasePriority: 8
ID: 8528, Name: ServiceHub.IdentityHost, BasePriority: 8
ID: 21184, Name: ServiceHub.IndexingService, BasePriority: 6
ID: 6900, Name: ServiceHub.Host.CLR, BasePriority: 8
ID: 13368, Name: ServiceHub.SettingsHost, BasePriority: 8
ID: 6700, Name: ServiceHub.Host.CLR, BasePriority: 8
ID: 25336, Name: ServiceHub.Host.CLR.x64, BasePriority: 8
ID: 20388, Name: ServiceHub.Host.CLR.x86, BasePriority: 8
ID: 13116, Name: ServiceHub.TestWindowStoreHost, BasePriority: 8
ID: 9680, Name: ServiceHub.Host.CLR.x86, BasePriority: 8
ID: 13120, Name: chrome, BasePriority: 4
ID: 15016, Name: chrome, BasePriority: 4
ID: 19868, Name: msedge, BasePriority: 4
ID: 23708, Name: msedge, BasePriority: 8
ID: 2744, Name: msedge, BasePriority: 4
ID: 22028, Name: msedge, BasePriority: 4
ID: 5704, Name: chrome, BasePriority: 4
ID: 2236, Name: chrome, BasePriority: 4
ID: 7208, Name: chrome, BasePriority: 4
ID: 23920, Name: vcpkgsrv, BasePriority: 8
ID: 3108, Name: msedge, BasePriority: 4
ID: 452, Name: devenv, BasePriority: 8
ID: 2224, Name: PerfWatson2, BasePriority: 8
ID: 18096, Name: Microsoft.ServiceHub.Controller, BasePriority: 8
ID: 19860, Name: ServiceHub.VSDetouredHost, BasePriority: 8
ID: 4072, Name: ServiceHub.RoslynCodeAnalysisService, BasePriority: 8
ID: 12208, Name: ServiceHub.ThreadedWaitDialog, BasePriority: 8
ID: 7216, Name: ServiceHub.IdentityHost, BasePriority: 8
ID: 9020, Name: ServiceHub.IndexingService, BasePriority: 6
ID: 2820, Name: ServiceHub.Host.CLR, BasePriority: 8
ID: 2976, Name: ServiceHub.Host.CLR, BasePriority: 8
ID: 4028, Name: ServiceHub.SettingsHost, BasePriority: 8
ID: 24492, Name: ServiceHub.TestWindowStoreHost, BasePriority: 8
ID: 20912, Name: ServiceHub.Host.CLR.x64, BasePriority: 8
ID: 12276, Name: ServiceHub.Host.CLR.x86, BasePriority: 8
ID: 18388, Name: ServiceHub.Host.CLR.x86, BasePriority: 8
ID: 25192, Name: chrome, BasePriority: 4
ID: 23668, Name: chrome, BasePriority: 4
ID: 13364, Name: chrome, BasePriority: 4
ID: 22004, Name: chrome, BasePriority: 4
ID: 1264, Name: chrome, BasePriority: 4
ID: 27952, Name: ACCIMonitor, BasePriority: 8
ID: 2540, Name: PhoneExperienceHost, BasePriority: 8
ID: 23280, Name: Microsoft.SharePoint, BasePriority: 6
ID: 18112, Name: steam, BasePriority: 8
ID: 12724, Name: steamwebhelper, BasePriority: 8
ID: 6268, Name: steamservice, BasePriority: 8
ID: 16976, Name: steamwebhelper, BasePriority: 8
ID: 17588, Name: steamwebhelper, BasePriority: 10
ID: 4184, Name: steamwebhelper, BasePriority: 8
ID: 14340, Name: steamwebhelper, BasePriority: 10
ID: 28436, Name: steamwebhelper, BasePriority: 4
ID: 3092, Name: steamwebhelper, BasePriority: 4
ID: 24744, Name: chrome, BasePriority: 4
ID: 12608, Name: chrome, BasePriority: 4
ID: 20212, Name: svchost, BasePriority: 8
ID: 11708, Name: SearchProtocolHost, BasePriority: 4
ID: 22336, Name: audiodg, BasePriority: 8
ID: 24860, Name: SearchFilterHost, BasePriority: 4
ID: 22924, Name: MSBuild, BasePriority: 8
ID: 28512, Name: conhost, BasePriority: 8
ID: 5032, Name: VBCSCompiler, BasePriority: 8
ID: 22860, Name: conhost, BasePriority: 8
ID: 26856, Name: VsDebugConsole, BasePriority: 8
ID: 20032, Name: conhost, BasePriority: 8
ID: 19828, Name: LABA14, BasePriority: 8
ID: 0, Name: Idle, BasePriority: 0
ID: 4, Name: System, BasePriority: 8
ID: 148, Name: Registry, BasePriority: 8
ID: 516, Name: smss, BasePriority: 11
ID: 920, Name: csrss, BasePriority: 13
ID: 1012, Name: wininit, BasePriority: 13
ID: 1016, Name: csrss, BasePriority: 13
ID: 1072, Name: winlogon, BasePriority: 13
ID: 1092, Name: services, BasePriority: 9
ID: 1124, Name: lsass, BasePriority: 9
ID: 1268, Name: svchost, BasePriority: 8
ID: 1292, Name: fontdrvhost, BasePriority: 8
ID: 1296, Name: fontdrvhost, BasePriority: 8
ID: 1392, Name: svchost, BasePriority: 8
ID: 1440, Name: svchost, BasePriority: 8
ID: 1512, Name: dwm, BasePriority: 13
ID: 1656, Name: svchost, BasePriority: 8
ID: 1676, Name: svchost, BasePriority: 8
ID: 1684, Name: svchost, BasePriority: 8
ID: 1716, Name: svchost, BasePriority: 8
ID: 1728, Name: svchost, BasePriority: 8
ID: 1828, Name: svchost, BasePriority: 8
ID: 1952, Name: svchost, BasePriority: 8
ID: 1964, Name: svchost, BasePriority: 8
ID: 2032, Name: svchost, BasePriority: 8
ID: 1008, Name: svchost, BasePriority: 8
ID: 1436, Name: svchost, BasePriority: 8
ID: 2056, Name: svchost, BasePriority: 8
ID: 2144, Name: svchost, BasePriority: 8
ID: 2184, Name: svchost, BasePriority: 8
ID: 2192, Name: svchost, BasePriority: 8
ID: 2436, Name: svchost, BasePriority: 8
ID: 2524, Name: svchost, BasePriority: 8
ID: 2532, Name: svchost, BasePriority: 8
ID: 2612, Name: svchost, BasePriority: 8
ID: 2664, Name: svchost, BasePriority: 8
ID: 2688, Name: NVDisplay.Container, BasePriority: 8
ID: 2756, Name: dasHost, BasePriority: 8
ID: 2792, Name: svchost, BasePriority: 8
ID: 2832, Name: svchost, BasePriority: 8
ID: 2880, Name: AsusCertService, BasePriority: 8
ID: 2892, Name: atiesrxx, BasePriority: 8
ID: 2964, Name: svchost, BasePriority: 8
ID: 2072, Name: atieclxx, BasePriority: 8
ID: 2768, Name: svchost, BasePriority: 8
ID: 2908, Name: svchost, BasePriority: 8
ID: 3076, Name: svchost, BasePriority: 8
ID: 3164, Name: Memory Compression, BasePriority: 8
ID: 3204, Name: svchost, BasePriority: 8
ID: 3260, Name: svchost, BasePriority: 8
ID: 3268, Name: svchost, BasePriority: 8
ID: 3304, Name: NVDisplay.Container, BasePriority: 8
ID: 3344, Name: svchost, BasePriority: 8
ID: 3540, Name: svchost, BasePriority: 8
ID: 3672, Name: svchost, BasePriority: 8
ID: 4056, Name: svchost, BasePriority: 8
ID: 4108, Name: svchost, BasePriority: 8
ID: 4116, Name: svchost, BasePriority: 8
ID: 4196, Name: WmiPrvSE, BasePriority: 8
ID: 4400, Name: svchost, BasePriority: 8
ID: 4464, Name: svchost, BasePriority: 8
ID: 4524, Name: AsusOptimization, BasePriority: 8
ID: 4532, Name: svchost, BasePriority: 8
ID: 4660, Name: spoolsv, BasePriority: 8
ID: 4816, Name: svchost, BasePriority: 8
ID: 4972, Name: svchost, BasePriority: 8
ID: 5080, Name: armsvc, BasePriority: 8
ID: 5100, Name: ArmouryCrateControlInterface, BasePriority: 8
ID: 5108, Name: ArmouryCrate.Service, BasePriority: 8
ID: 4288, Name: AsusAppService, BasePriority: 8
ID: 4192, Name: AsusLinkRemote, BasePriority: 8
ID: 3812, Name: AsusLinkNear, BasePriority: 8
ID: 4720, Name: AsusSoftwareManager, BasePriority: 8
ID: 4760, Name: AGMService, BasePriority: 8
ID: 4740, Name: AsusSwitch, BasePriority: 8
ID: 4844, Name: AsusSystemAnalysis, BasePriority: 8
ID: 5004, Name: AsusSystemDiagnosis, BasePriority: 8
ID: 5160, Name: svchost, BasePriority: 8
ID: 5212, Name: svchost, BasePriority: 8
ID: 5240, Name: OfficeClickToRun, BasePriority: 8
ID: 5288, Name: svchost, BasePriority: 8
ID: 5324, Name: DtsApo4Service, BasePriority: 8
ID: 5356, Name: GameSDK, BasePriority: 8
ID: 5368, Name: GlideXServiceExt, BasePriority: 8
ID: 5384, Name: GlideXService, BasePriority: 8
ID: 5400, Name: svchost, BasePriority: 8
ID: 5528, Name: LightingService, BasePriority: 8
ID: 5552, Name: svchost, BasePriority: 8
ID: 5608, Name: ROGLiveService, BasePriority: 8
ID: 5632, Name: RtkAudUService64, BasePriority: 8
ID: 5640, Name: svchost, BasePriority: 8
ID: 5648, Name: svchost, BasePriority: 8
ID: 5676, Name: RtkBtManServ, BasePriority: 8
ID: 5688, Name: sqlwriter, BasePriority: 8
ID: 5708, Name: svchost, BasePriority: 8
ID: 5724, Name: RvControlSvc, BasePriority: 24
ID: 5732, Name: svchost, BasePriority: 8
ID: 5764, Name: MsMpEng, BasePriority: 8
ID: 5800, Name: svchost, BasePriority: 8
ID: 5904, Name: lkads, BasePriority: 8
ID: 6312, Name: svchost, BasePriority: 8
ID: 6368, Name: svchost, BasePriority: 8
ID: 6476, Name: svchost, BasePriority: 8
ID: 6644, Name: lktsrv, BasePriority: 8
ID: 7092, Name: svchost, BasePriority: 8
ID: 7180, Name: unsecapp, BasePriority: 8
ID: 7964, Name: svchost, BasePriority: 8
ID: 8704, Name: svchost, BasePriority: 8
ID: 9028, Name: NisSrv, BasePriority: 8
ID: 9068, Name: adb, BasePriority: 8
ID: 5672, Name: svchost, BasePriority: 8
ID: 8260, Name: dllhost, BasePriority: 8
ID: 8616, Name: svchost, BasePriority: 8
ID: 8336, Name: AsusOptimizationStartupTask, BasePriority: 8
ID: 8236, Name: ArmouryCrate.UserSessionHelper, BasePriority: 8
ID: 8356, Name: svchost, BasePriority: 8
ID: 8508, Name: conhost, BasePriority: 8
ID: 8376, Name: sihost, BasePriority: 8
ID: 8208, Name: svchost, BasePriority: 8
ID: 3560, Name: svchost, BasePriority: 8
ID: 9284, Name: svchost, BasePriority: 8
ID: 9400, Name: ArmourySocketServer, BasePriority: 6
ID: 9416, Name: AcPowerNotification, BasePriority: 6
ID: 9464, Name: taskhostw, BasePriority: 8
ID: 9476, Name: asus_framework, BasePriority: 6
ID: 9616, Name: svchost, BasePriority: 8
ID: 9716, Name: ctfmon, BasePriority: 13
ID: 9940, Name: explorer, BasePriority: 8
ID: 9948, Name: svchost, BasePriority: 8
ID: 10264, Name: GoogleCrashHandler, BasePriority: 4
ID: 10284, Name: ArmouryHtmlDebugServer, BasePriority: 6
ID: 10356, Name: GoogleCrashHandler64, BasePriority: 4
ID: 10536, Name: updatechecker, BasePriority: 6
ID: 10708, Name: asus_framework, BasePriority: 6
ID: 10884, Name: svchost, BasePriority: 8
ID: 9504, Name: AsusOSD, BasePriority: 8
ID: 10968, Name: ArmourySwAgent, BasePriority: 6
ID: 11524, Name: svchost, BasePriority: 8
ID: 11788, Name: StartMenuExperienceHost, BasePriority: 8
ID: 11872, Name: RuntimeBroker, BasePriority: 8
ID: 11972, Name: SearchApp, BasePriority: 8
ID: 12004, Name: SearchIndexer, BasePriority: 8
ID: 12188, Name: RuntimeBroker, BasePriority: 8
ID: 12964, Name: ShellExperienceHost, BasePriority: 8
ID: 2648, Name: RuntimeBroker, BasePriority: 8
ID: 2656, Name: svchost, BasePriority: 8
ID: 12840, Name: svchost, BasePriority: 8
ID: 13356, Name: svchost, BasePriority: 8
ID: 13484, Name: TextInputHost, BasePriority: 8
ID: 13748, Name: SecurityHealthSystray, BasePriority: 8
ID: 13780, Name: SecurityHealthService, BasePriority: 8
ID: 13984, Name: svchost, BasePriority: 8
ID: 15348, Name: RuntimeBroker, BasePriority: 8
ID: 14456, Name: svchost, BasePriority: 8
ID: 14808, Name: Cortana, BasePriority: 8
ID: 15212, Name: RuntimeBroker, BasePriority: 8
ID: 8252, Name: RadeonSoftware, BasePriority: 8
ID: 14732, Name: svchost, BasePriority: 8
ID: 15548, Name: jusched, BasePriority: 8
ID: 15788, Name: AMDRSServ, BasePriority: 8
ID: 16264, Name: RtkAudUService64, BasePriority: 6
ID: 15612, Name: chrome, BasePriority: 8
ID: 15624, Name: chrome, BasePriority: 8
ID: 15892, Name: chrome, BasePriority: 10
ID: 15908, Name: chrome, BasePriority: 8
ID: 15924, Name: chrome, BasePriority: 8
ID: 15320, Name: chrome, BasePriority: 8
ID: 15240, Name: chrome, BasePriority: 8
ID: 15252, Name: chrome, BasePriority: 8
ID: 8180, Name: svchost, BasePriority: 8
ID: 12740, Name: SystemSettings, BasePriority: 8
ID: 12744, Name: ApplicationFrameHost, BasePriority: 8
ID: 16604, Name: svchost, BasePriority: 8
ID: 16696, Name: UserOOBEBroker, BasePriority: 8
ID: 13832, Name: chrome, BasePriority: 8
ID: 14384, Name: svchost, BasePriority: 8
ID: 9516, Name: SgrmBroker, BasePriority: 8
ID: 13056, Name: svchost, BasePriority: 8
ID: 1840, Name: svchost, BasePriority: 8
ID: 10032, Name: AsusSoftwareManagerAgent, BasePriority: 8
ID: 16052, Name: SearchApp, BasePriority: 8
ID: 3412, Name: dllhost, BasePriority: 8
ID: 15692, Name: svchost, BasePriority: 8
ID: 14524, Name: SDXHelper, BasePriority: 4
ID: 6000, Name: Video.UI, BasePriority: 8
ID: 17864, Name: RuntimeBroker, BasePriority: 8
ID: 15964, Name: MpCopyAccelerator, BasePriority: 8
ID: 18764, Name: LockApp, BasePriority: 8
ID: 19260, Name: RuntimeBroker, BasePriority: 8
ID: 16616, Name: svchost, BasePriority: 8
ID: 15752, Name: taskhostw, BasePriority: 8
ID: 6324, Name: svchost, BasePriority: 8
ID: 21500, Name: svchost, BasePriority: 8
ID: 22560, Name: chrome, BasePriority: 4
ID: 24780, Name: chrome, BasePriority: 4
ID: 24052, Name: Microsoft.Photos, BasePriority: 8
ID: 23384, Name: RuntimeBroker, BasePriority: 8
ID: 19956, Name: chrome, BasePriority: 8
